,rdfs:comment
1988,"People with Jacobs syndrome develop with an extra Y chromosome. They might not have any obvious physical variations as a result, or they may be taller than usual or have other identifiable differences that do not relate to sex characteristics. Some people with Jacobs syndrome may also have a smaller-than-typical penis or scrotum, hypospadias, and/or undescended testicles."
1989,"Kallmann syndrome can occur in people with XX or XY chromosomes and is a form of hypogonadism. People with Kallmann syndrome and XY chromosomes are often born with a smaller-than-typical penis and undescended testes. In adolescence, most people with Kallmann syndrome will either start puberty later than usual or not experience typical pubertal changes (such as developing facial hair and a deeper voice for people with XY chromosomes or developing breasts and starting to menstruate for people with XX chromosomes) unless they receive hormone therapy. Kallmann syndrome also affects someone’s sense of smell."
1990,People with Leydig cell hypoplasia (LCH) have XY chromosomes and a genetic insensitivity to luteinizing hormone. LCH can be either complete (known as LCH Type 1) or partial (known as LCH Type 2). Luteinizing hormone is typically responsible for the development of Leydig cells in the testicles and for signaling for those cells to produce androgens like testosterone. Someone with LCH will develop few or no Leydig cells and therefore will produce less testosterone than is typical.
1991,"People with XY chromosomes and luteinizing hormone insensitivity develop the variation Leydig cell hypoplasiae. Because people with XX chromosomes do not typically produce Leydig cells to begin with, someone with XX chromosomes who has a genetic insensitivity to luteinizing hormone will not be affected in the same way. A person with XX chromosomes whose body does not respond to luteinizing hormone will not usually have any noticeable differences at birth, but their ovaries may not produce fertile follicles (eggs), and they may not menstruate."
1992,"People with penoscrotal transposition are born with a different genital configuration than typical, with their penis located below or in the middle of their scrotum instead of above it. Their scrotum might be bifid (split into two halves), and they may also have hypospadias and/or chordee."
1993,"People with Persistent Müllerian duct syndrome (PMDS) have XY chromosomes, male-typical reproductive organs and external genitalia, and some component(s) of a female-typical reproductive tract, such as a uterus, fallopian tubes, and/or upper vaginal canal. PMDS occurs when the Müllerian ducts—internal structures that ordinarily break down in an XY fetus—remain and develop as they would in an XX fetus. PMDS is ordinarily not diagnosed at birth, and individuals with this variation often have a male gender identity."
1994,"People with this variation have XX chromosomes and are generally born with a vulva and vagina, a uterus, and ovaries. Later in life, their ovaries often produce higher-than-typical levels of androgens like testosterone. Polycystic ovary syndrome (PCOS) can also result in the development of characteristics such as facial and body hair, and it can interfere with the process of ovulation. This in turn can cause irregular periods or no periods, and people with PCOS may struggle to become pregnant. Some people with PCOS have small cysts (fluid-filled sacs) on their ovaries, but some do not. Signs of PCOS generally will not show up until a person starts menstruating, or later in life."
1995,"A term previously used in medical contexts to refer to different groups of intersex variations, usually divided into categories of “male pseudohermaphroditism” and “female pseudohermaphroditism” on the basis of the person’s chromosomes. People may still find these terms used in their medical records or in medical journal articles when researching their variation, but they are often considered highly stigmatizing in addition to being vague and inaccurate. Do not use this term to describe a person's variation unless they do so themselves."
1996,A term sometimes used in medical contexts to refer to different variations in which a person is born with XY chromosomes and a vulva and vagina or XX chromosomes and a penis.
1997,"People with Trisomy X are born with 47XXX chromosomes rather than the typical 46XX. If they receive the additional X chromosome from their parent's original sperm or egg cell, they will have 47XXX chromosomes in all their cells. If the additional chromosome appears during the embryo's development process, however, only some cells will have 47XXX chromosomes and the person will be born with a mosaic chromosome pattern. Most people with 47XXX chromosomes do not develop any variations in their other sex characteristics but some may have ovaries that stop producing hormones at an earlier-than-typical age and some may not menstruate."
1998,"People with this variation may be born without a vaginal opening, a shallow “dimple” where an opening would typically be, or a vaginal opening that is fused or blocked by fibrous tissue. People with vaginal atresia often have a typical upper vaginal canal (along with a typical uterus, cervix, fallopian tubes, and ovaries) with differences in the lower portion of the vagina only."
1999,"People with XXYY syndrome are born with an extra copy of both an X and Y chromosome, resulting in an 48XXYY chromosome pattern instead of the typical 46XY. People with XXYY chromosomes may have undescended testes and produce lower-than-typical amounts of testosterone, which can cause them to start puberty at a later age than typical and develop less pronounced secondary sex characteristics like muscle tone and facial hair. They may also experience breast growth. People with XXYY syndrome often have other physical features that are similar to those developed by people with Klinefelter syndrome (47XXY)."
2000,"Mayer-Rokitansky-Küster-Hauser (MRKH) syndrome occurs when a person's Müllerian ducts, which typically become the uterus and upper portion of the vagina during fetal development, do not develop in the typical way. People with MRKH have XX chromosomes and are usually born with a vulva and either a vagina that is shorter than typical or no vagina. They usually do not have a cervix and may have a partial uterus (uterine remnant) or no uterus. They often do not mensturate but may experience cyclic pain if they have a uterine remnant with endometrial lining, and they can develop menstruation-related conditions like endometriosis."
2001,"Intersex people who have experienced bullying directed toward them because they are intersex and may or may not have survived; follow the individual's preference for ""victims"" or ""survivors"" whenever possible."
2002,"Acts of violence or abuse directed against an individual by their current or former partner in a romantic, sexual, or play relationship."
2003,Hate or dislike of men or boys.
2004,Hate or dislike of women or girls.
2005,"Bisexual people who are Inuit, or part of several Indigenous peoples inhabiting the Inuit homeland in the Arctic and subarctic regions of Greenland, Canada, and Alaska. Only use for people who identify as Inuit."
2006,"Gay men who are Inuit, or part of several Indigenous peoples inhabiting the Inuit homeland in the Arctic and subarctic regions of Greenland, Canada, and Alaska. Only use for people who identify as Inuit."
2007,"Intersex people who are Inuit, or part of several Indigenous peoples inhabiting the Inuit homeland in the Arctic and subarctic regions of Greenland, Canada, and Alaska. Only use for people who identify as Inuit."
2008,"Lesbians who are Inuit, or part of several Indigenous peoples inhabiting the Inuit homeland in the Arctic and subarctic regions of Greenland, Canada, and Alaska. Only use for people who identify as Inuit."
2009,"Transgender people who are Inuit, or part of several Indigenous peoples inhabiting the Inuit homeland in the Arctic and subarctic regions of Greenland, Canada, and Alaska. Only use for people who identify as Inuit."
2010,"Queer people who are Inuit, or part of several Indigenous peoples inhabiting the Inuit homeland in the Arctic and subarctic regions of Greenland, Canada, and Alaska. Only use for people who identify as Inuit."
2011,"Outdated, historical term used for LGBTQ+ people."
2012,"Historical term originating from the German ""Uranismus"" coined by Karl Heinrich Ulrichs as an umbrella term for what are now referred to as gender and sexual minorities; use only in historical contexts."
2013,A set of pronouns. Used in this manner: It went to the Homosaurus website. I watched it browse the Homosaurus. It uses the Homosaurus itself.
2014,"In India, this term is used to describe people assigned male at birth who take on female dress and characteristics but who do not elect to receive castration."
2015,A set of pronouns. Used in this manner: Jee went to the Homosaurus website. I watched jem browse the Homosaurus. Jee uses the Homosaurus jemself.
2016,Slang term for masturbation; typically refers to manual stimulation of the penis.
2017,Asexual people who are Jewish.
2018,LGBTQ+ people who are Jewish.
2019,Bisexual people who are Jewish.
2020,Gay men who are Jewish.
2021,Intersex people who are Jewish.
2022,Lesbians who are Jewish.
2023,"LGBTQ+ people who belong to a religion or hold religious beliefs. For LGBTQ+ people who hold spiritual beliefs or engage in spiritual practices but do not belong to an organized religion, use the term ""LGBTQ+ spiritual people."""
2024,Queer people who are Jewish.
2025,Transgender people who are Jewish.
2026,Asexual people who belong to the indigenous Kalasha people and reside in the Chitral District of Khyber-Pakhtunkhwa province in Pakistan.
2027,LGBTQ+ people who belong to the indigenous Kalasha people and reside in the Chitral District of Khyber-Pakhtunkhwa province in Pakistan.
2028,Bisexual people who belong to the indigenous Kalasha people and reside in the Chitral District of Khyber-Pakhtunkhwa province in Pakistan.
2029,Gay men who belong to the indigenous Kalasha people and reside in the Chitral District of Khyber-Pakhtunkhwa province in Pakistan.
2030,Intersex people who belong to the indigenous Kalasha people and reside in the Chitral District of Khyber-Pakhtunkhwa province in Pakistan.
2031,Lesbians who belong to the indigenous Kalasha people and reside in the Chitral District of Khyber-Pakhtunkhwa province in Pakistan.
2032,Transgender people who belong to the indigenous Kalasha people and reside in the Chitral District of Khyber-Pakhtunkhwa province in Pakistan.
2033,Queer people who belong to the indigenous Kalasha people and reside in the Chitral District of Khyber-Pakhtunkhwa province in Pakistan.
2034,"Bisexual people who are part of the Indigenous people of Mokupuni o Hawai‘i, or the Hawaiian Islands; only use to refer to people who identify as Kanaka Maoli."
2035,"Gay men who are part of the Indigenous people of Mokupuni o Hawai‘i, or the Hawaiian Islands; only use to refer to people who identify as Kanaka Maoli."
2036,"Lesbians who are part of the Indigenous people of Mokupuni o Hawai‘i, or the Hawaiian Islands; only use to refer to people who identify as Kanaka Maoli."
2037,"Queer people who are part of the Indigenous people of Mokupuni o Hawai‘i, or the Hawaiian Islands; only use to refer to people who identify as Kanaka Maoli."
2038,"Transgender people who are part of the Indigenous people of Mokupuni o Hawai‘i, or the Hawaiian Islands; only use to refer to people who identify as Kanaka Maoli and transgender."
2039,Term used in Hawaiian and Tahitian cultures for third gender people who blend genders and often hold spiritual roles.
2040,Asexual people who live in or are descended from those native to the Kashmir Valley in the Indian subcontinent.
2041,LGBTQ+ people who live in or are descended from those native to the Kashmir Valley in the Indian subcontinent.
2042,Bisexual people who live in or are descended from those native to the Kashmir Valley in the Indian subcontinent.
2043,Gay men who live in or are descended from those native to the Kashmir Valley in the Indian subcontinent.
2044,Intersex people who live in or are descended from those native to the Kashmir Valley in the Indian subcontinent.
2045,Lesbians who live in or are descended from those native to the Kashmir Valley in the Indian subcontinent.
2046,Transgender people who live in or are descended from those native to the Kashmir Valley in the Indian subcontinent.
2047,Queer people who live in or are descended from those native to the Kashmir Valley in the Indian subcontinent.
2048,Arabic word used in Oman for people who assigned male at birth who adopt feminine mannerisms and/or roles.
2049,Asexual individuals who belong to or are descended from the people indigenous to the Chitral and Ghizer districts of modern-day Pakistan.
2050,LGBTQ+ people who belong to or are descended from the people indigenous to the Chitral and Ghizer districts of modern-day Pakistan.
2051,Bisexual individuals who belong to or are descended from the people indigenous to the Chitral and Ghizer districts of modern-day Pakistan.
2052,Gay men who belong to or are descended from the people indigenous to the Chitral and Ghizer districts of modern-day Pakistan.
2053,Intersex individuals who belong to or are descended from the people indigenous to the Chitral and Ghizer districts of modern-day Pakistan.
2054,Lesbians who belong to or are descended from the people indigenous to the Chitral and Ghizer districts of modern-day Pakistan.
2055,Transgender individuals who belong to or are descended from the people indigenous to the Chitral and Ghizer districts of modern-day Pakistan.
2056,Queer individuals who belong to or are descended from the people indigenous to the Chitral and Ghizer districts of modern-day Pakistan.
2057,Khmer term for third sex people. Can be considered outdated and offensive.
2058,"Term used in Cambodia for people assigned male at birth who identify as women; translates to ""long hairs."""
2059,"Term used in Cambodia for people assigned male at birth who identify as women; translates to ""charming girls."""
2060,"Names used to describe common pairings in fandom. Ship names are often portmanteaus of the names of two (or more) characters in the ship (e.g., Spirk for Spock and Kirk)."
2061,"Touching or pressing one's lips to another person or an object to communicate a greeting, affection, reverence, love, or sexual desire."
2062,A set of pronouns. Used in this manner: Kit went to the Homosaurus website. I watched kit browse the Homosaurus. Kit uses the Homosaurus kitself.
2063,Turkish term for male dancers who crossdress in feminine attire for entertainment purposes.
2064,"Asexual people who are from or descended from those native to the Konkan region of the Indian subcontinent, and who speak any of the dialects of the Konkani language."
2065,"LGBTQ+ people who are from or descended from those native to the Konkan region of the Indian subcontinent, and who speak any of the dialects of the Konkani language."
2066,"Bisexual people who are from or descended from those native to the Konkan region of the Indian subcontinent, and who speak any of the dialects of the Konkani language."
2067,"Gay men who are from or descended from those native to the Konkan region of the Indian subcontinent, and who speak any of the dialects of the Konkani language."
2068,"Intersex people who are from or descended from those native to the Konkan region of the Indian subcontinent, and who speak any of the dialects of the Konkani language."
2069,"Lesbians who are from or descended from those native to the Konkan region of the Indian subcontinent, and who speak any of the dialects of the Konkani language."
2070,"Transgender people who are from or descended from those native to the Konkan region of the Indian subcontinent, and who speak any of the dialects of the Konkani language."
2071,"Queer people who are from or descended from those native to the Konkan region of the Indian subcontinent, and who speak any of the dialects of the Konkani language."
2072,Asexual people who live mostly in Kumaon region in the Indian Himalayas. They might also speak the Kumaoni language as their first language.
2073,LGBTQ+ people who live mostly in Kumaon region in the Indian Himalayas. They might also speak the Kumaoni language as their first language.
2074,Bisexual people who live mostly in Kumaon region in the Indian Himalayas. They might also speak the Kumaoni language as their first language.
2075,Gay men who live mostly in Kumaon region in the Indian Himalayas. They might also speak the Kumaoni language as their first language.
2076,Intersex people who live mostly in Kumaon region in the Indian Himalayas. They might also speak the Kumaoni language as their first language.
2077,Lesbians who live mostly in Kumaon region in the Indian Himalayas. They might also speak the Kumaoni language as their first language.
2078,Transgender people who live mostly in Kumaon region in the Indian Himalayas. They might also speak the Kumaoni language as their first language.
2079,Queer people who live mostly in Kumaon region in the Indian Himalayas. They might also speak the Kumaoni language as their first language.
2080,Asexual people who are from or are descended from those native to the  the Kutch district of the Indian state of Gujarat and the Sindh region of Pakistan.
2081,LGBTQ+ people who are from or are descended from those native to the Kutch district of the Indian state of Gujarat and the Sindh region of Pakistan.
2082,Bisexual people who are from or are descended from those native to the  the Kutch district of the Indian state of Gujarat and the Sindh region of Pakistan.
2083,Gay men who are from or are descended from those native to the  the Kutch district of the Indian state of Gujarat and the Sindh region of Pakistan.
2084,Intersex people who are from or are descended from those native to the  the Kutch district of the Indian state of Gujarat and the Sindh region of Pakistan.
2085,Lesbians who are from or are descended from those native to the  the Kutch district of the Indian state of Gujarat and the Sindh region of Pakistan.
2086,Transgender people who are from or are descended from those native to the  the Kutch district of the Indian state of Gujarat and the Sindh region of Pakistan.
2087,Queer people who are from or are descended from those native to the  the Kutch district of the Indian state of Gujarat and the Sindh region of Pakistan.
2088,Symbol used to represent lesbianism and feminism.
2089,Cebuano term for women who are attracted to women and take on male personas and cultural work.
2090,Symbol for lesbian and gay rights.
2091,"Protective coverings for the hands made from latex, a thin-plastic like material; often used as a barrier to protect against STIs while engaging in safer sex practices."
2092,"Latin American men who are gay; only use to describe individuals who self-identify as Latino, Latina, or Latinx. Do not conflate with Chicano/a/x or Hispanic."
2093,"Latin American people who are intersex; only use to describe individuals who self-identify as Latino, Latina, or Latinx. Do not conflate with Chicano/a/x or Hispanic."
2094,"Latin American people who are lesbians; only use to describe individuals who self-identify as Latino, Latina, or Latinx. Do not conflate with Chicano/a/x or Hispanic."
2095,"Latin American people who are queer; only use to describe individuals who self-identify as Latino, Latina, or Latinx. Do not conflate with Chicano/a/x or Hispanic."
2096,"Latin American people who are transgender; only use to describe individuals who self-identify as Latino, Latina, or Latinx. Do not conflate with Chicano/a/x or Hispanic."
2097,Term used to describe the mid-20th century purge of lesbians and gay men in the U.S. government as a result of moral panic incited by Joseph McCarthy and others.
2098,"Actions taken by individuals or groups to influence legislative action (or non-action), policies, or decisions of government officials in favor of LGBTQ+ people, communities, or issues."
2099,LGBTQ+ people who do not have official documentation to remain legal residents of the countries in which they live.
2100,"Acronym used to describe lesbians, bisexuals, and transgender people as a group."
2101,"A length of rope or similar material used to control an individual, often to increase sexual arousal."
2102,People who participate in leather communities and identify as leather daddies.
2103,Multiple people who participate in leather communities and identify as a leather family.
2104,People who participate in leather communities and identify as leather mommies.
2105,People who participate in leather communities and identify as leathermen.
2106,People who participate in leather communities and identify as leatherwomen.
2107,
2108,"Legal, economic, social, and cultural rights afforded to individuals who are in long-term partnerships (e.g., marriage, domestic partnership, civil union) that can include shared health insurance, life insurance benefits, adoption rights, and the authority to make medical and financial decisions on behalf of one's partner."
2109,"The legal parent-child relationship that may be established by biological relations, at birth, or through adoption. These rights may include child custody and visitation, decision-making authority, and informational access. "
2110,"LGBTQ+ people who have fled to another country to escape war, persecution, natural disaster, or other forms of conflict. Only use for people legally recognized as refugees; otherwise, use LGBTQ+ asylum seekers."
2111,Direct action and organizing to achieve political or social change and acceptance for lesbians.
2112,Lesbians working to bring about political or social change through public organizing.
2113,Collections of records and materials relating to lesbians or lesbian communities; can include a variety of organizations and institutions from community to government archives.
2114,"Term for different forms of creative activity, including visual, material, and performing arts, by lesbian artists or about lesbian topics and communities. 
"
2115,"Erotic art, created by lesbian artists, depicting lesbian people, or that are regarded as important within lesbian culture."
2116,Artists who are known to be lesbians.
2117,Lesbians who are atheists.
2118,Professional or amateur/recreational sports players who self-identify as lesbians.
2119,Groups of lesbians formed for the purpose of playing sports; includes professional and amateur sports clubs.
2120,Works of fiction written to be performed; use in reference to dramatic works focusing on lesbian characters or themes.
2121,Written literary works about lesbian characters or themes.
2122,"Literary work, typically written in verse, that focuses on lesbian characters, lesbian themes, or lesbian identity."
2123,The participation and inclusion of lesbians in fan communities.
2124,Lesbians who are autistic.
2125,Drinking establishments that primarily cater to lesbians.
2126,Beaches set aside for use by lesbians or beaches known to be frequented by lesbians.
2127,Lesbians with significant or total loss of vision.
2128,Lesbians who are disabled.
2129,Bookshops that sell materials intended for use by lesbians or addressing topics related to lesbian communities.
2130,Bookshops that sell materials intended for use by women or addressing topics related to women. 
2131,Lesbians who are Buddhist.
2132,Characters in creative works who are lesbians.
2133,Lesbians who have not yet reached the age of adolescence.
2134,Lesbians who are Christian.
2135,"Term that encompasses lesbian filmmaking, the lesbian film industry, and film as an art form within lesbian culture. For specific movies created by or representing lesbians, use the term ""Lesbian films."""
2136,"Motion pictures, or movies, created by lesbian directors, depicting lesbians, or that are regarded as important within lesbian culture."
2137,"Lesbians who seek to entertain an audience by making them laugh, through jokes, slapstick, employing prop comedy, or other amusing means."
2138,Works consisting of sequential images often accompanied by text; use in reference to comics focusing on lesbian characters or themes.
2139,"Spaces in which people from lesbian communities meet for social, education, recreational, or organizing activities."
2140,"Genre of music by women, for women, and about women that emerged in the 1960s and 1970s as a form of musical expression of the second-wave feminist movement."
2141,Daughters who identify as lesbians.
2142,Lesbians with significant or total hearing loss. Some but not all Deaf people prefer to capitalize Deaf in recognition of the cultural and linguistic identity they share with other Deaf people.
2143,Lesbians with significant or total hearing loss who may or may not consider themselves d/Deaf.
2144,Lesbians who have long-term health conditions that require continued medical attention and/or significantly impact or limit daily life; some but not all people with chronic illnesses consider themselves disabled.
2145,"Erotic films or movies, created by lesbian directors, depicting lesbian people, or that are regarded as important within lesbian culture."
2146,Erotic or sexually explicit films featuring lesbians.
2147,Written works that include magical or fantastical elements; use in reference to fantasy fiction focusing on lesbian characters or themes.
2148,"Lesbians who are fathers. This includes non-binary people who have children and identify as fathers, as well as trans women who had children before transitioning and still identify as fathers to those children. Do not use to describe lesbian parents unless they self-identify as fathers."
2149,"Past events or accounts of the past concerning lesbians, or people who might be perceived as lesbian if they were alive today."
2150,"Written works of fiction intended to frighten, scare, or disgust; use in reference to horror fiction focusing on lesbian characters or themes."
2151,"Term used to describe the sexual identity of women and femmes who are romantically and/or sexually attracted to other women and femmes. However, not all lesbians are women, and gender non-conforming people who belong to lesbian communities have often identified as lesbian."
2152,"Institutions providing education, support, and information about lesbian identity and lesbian communities to lesbians."
2153,Rural communities populated only by lesbians.
2154,Libraries that hold materials primarily pertaining to lesbians or intended for use by lesbians.
2155,Libraries that contain materials primarily pertaining to women or for use by women.
2156,Lesbians who are mothers.
2157,"An imagined autonomous, international lesbian community that is set apart from men."
2158,"Newspapers, magazines, or other publishing outlets aimed at lesbian audiences and/or operated by lesbians."
2159,Auditory content broadcast on the radio (analog or digital) about lesbians and lesbian issues.
2160,Television shows featuring lesbian characters or themes.
2161,"Institutions dedicated to the storage, exhibition, conservation, and preservation of materials relating to lesbians and lesbian history."
2162,Lesbians who are Muslim.
2163,Written literary works about the investigation of crime or the work of detectives; use in reference to mystery and detective fiction focusing on lesbian characters and themes.
2164,"Lesbians whose brains process, learn, and/or behave differently from what is considered typical by society. Some of these neurological differences can present as learning disabilities, medical disorders, and other conditions."
2165,"Serialized print or digital periodicals created by or for lesbians, often with the purpose of sharing news and information related to lesbian communities and lesbian issues."
2166,"Serialized print or digital publications about lesbians or lesbian issues (and typically produced by lesbians or lesbian organizations) that contain news, articles, columns, correspondence, and advertisements."
2167,"Lesbians who are members of polytheistic religions or other religions outside of the dominant culture that typically incorporate nature worship and/or the sacred feminine, such as Wicca, Druidry, Heathenry, etc. Use to describe lesbians who self-identify as Pagan."
2168,"Lesbians who are the romantic, sexual, or play partners of another person or people."
2169,"Lesbians who are candidates for public office, are currently holding public office, or have held political positions. Politicians can be elected by public election or otherwise appointed."
2170,
2171,
2172,Lesbians who are members of the Protestant Church.
2173,Companies and organizations that publish materials for lesbian communities or addressing lesbian issues.
2174,"Legal, social, or ethical principles of freedom or entitlement held by lesbians."
2175,Lesbians who are members of the Roman Catholic Church.
2176,Written literary works focusing on romantic relationships and love between people; use in reference to romance fiction focusing on lesbian characters and themes.
2177,"Written literary works about imaginative or futuristic concepts incorporating science, technology, space, time travel, and other speculative elements; use in reference to science fiction focusing on lesbian characters and themes."
2178,Written literary works that are short in length and detail a self-contained incident or concept; use in reference to short stories focusing on lesbian characters or themes.
2179,"Lesbians who have experienced and survived bullying due to their sexual identity; follow the individual's preference for ""victims"" or ""survivors"" whenever possible."
2180,"Lesbians who have experienced and survived hate crimes; follow the individual's preference for ""victims"" or ""survivors"" whenever possible."
2181,"Lesbians who have experienced hate crimes and may or may not have survived; follow the individual's preference for ""victims"" or ""survivors"" whenever possible."
2182,"Lesbians who have experienced and survived sexual abuse; follow the individual's preference for ""victims"" or ""survivors"" whenever possible."
2183,"Lesbians who have experienced sexual abuse and may or may not have survived; follow the individual's preference for ""victims"" or ""survivors"" whenever possible."
2184,"Lesbians who have experienced and survived war; follow the individual's preference for ""victims"" or ""survivors"" whenever possible."
2185,"Lesbians who have experienced war and may or may not have survived; follow the individual's preference for ""victims"" or ""survivors"" whenever possible."
2186,"Lesbians who have experienced bullying due to their sexual identity and may or may not have survived; follow the individual's preference for ""victims"" or ""survivors"" whenever possible."
2187,"Two-Spirit people who have experienced sexual abuse and may or may not have survived; follow the individual's preference for ""victims"" or ""survivors"" whenever possible."
2188,"Lesbians' legal rights to be informed, present, and heard within the criminal justice system after having been harmed or injured as the result of of a crime, accident, or other event."
2189,Lesbians who use wheelchairs.
2190,"Written literary works for an audience of readers from 12-18 years of age, also known as young adult literature or YA; use in reference to youth literature focusing on lesbian characters or themes."
2191,"The presence of lesbians in the workplace, including acceptance of and issues faced by lesbian workers."
2192,"A mostly antiquated term used either to refer to scissoring, to any sexual activity between women, or to the general concept of being a lesbian (""lesbianism"")."
2193,"Lesbians who are advanced in age, typically over 60 years of age."
2194,"People who act as parents to one or more lesbian. For parents who are themselves lesbians, use the term ""Lesbian parents."""
2195,Systematic mistreatment of lesbians on the basis of their sexual identity.
2196,Women who identify as queer.
2197,Historical term for individuals who engage in the sexual practice of tribadism; use only in historical contexts.
2198,Lesbians serving in state and national armed forces.
2199,"People with Type 1 Leydig cell hypoplasia (LCH) produce almost no testosterone and will usually be born with a vulva and vagina and undescended testes. They are usually assigned female at birth, often without their variation being recognized until adolescence, at which point they generally will not develop any secondary sex characteristics or experience other changes typically associated with puberty."
2200,"People with Type 2 Leydig cell hypoplasia (LCH) have some response to luteinizing hormone and produce lower-than-typical amounts of testosterone, but more than people with Type 1 LCH. At birth, their testes may be descended or undescended, and they may have a smaller-than-typical penis, often with other noticeable differences such as hypospadias. In adolescence, they will often develop some characteristics associated with a typical testosterone puberty."
2201,"A series of organized events or efforts centered around raising awareness or achieving a particular political, social, or cultural goal or action benefiting LGBTQ+ people and communities."
2202,"Use to describe a group of LGBTQ+ people taking action that is intended to reveal an existing problem, highlight an alternative, or demonstrate a possible solution to a social issue."
2203,"Action taken by large groups of people in protest of the discrimination of or in support for LGBTQ+ individuals, communities, topics, or rights; typically includes marches and rallies with speakers."
2204,Direct action and organizing to achieve political or social change and acceptance for queer people.
2205,Direct action and organizing to achieve political or social change and acceptance for transgender people.
2206,"LGBTQ+ activism undertaken by police organizations and institutions which intends to increase the social capital of such institutions, rather than to actually serve LGBTQ+ communities."
2207,Direct action and organizing to achieve political or social change and acceptance for Two-Spirit people.
2208,Queer people working to bring about political or social change through public organizing.
2209,Transgender people working to bring about political or social change through public organizing.
2210,"Popularized by the gay liberation group Gays Activists Alliance, zaps are public demonstrations focused on confronting or embarrassing specific politicians or public officials while calling attention to the liberation movement."
2211,Two-Spirit people working to bring about political or social change through public organizing.
2212,An adoption process by which a legal child-parent relationship is established by granting the “second” parent the same rights as the “first” parent without the “first” or legal parent relinquishing any parental rights. A second or co-parent adoption can be important for LGBTQ+ parents to protect their parental rights as the relationship of the non-biological parent may not be recognized in some jurisdictions without such an adoption.
2213,Families including adopted children in which one or more individuals identify as LGBTQ+.
2214,"Motherhood experiences, as experienced by LGBTQ+ people."
2215,"The experiences involved in social parenting, as experienced by LGBTQ+ people."
2216,Foster parents who are LGBTQ+ people.
2217,LGBTQ+ people who are Anglican.
2218,"A broad grouping term for galleries, libraries, archives, museums, and special collections (GLAMS) that hold materials primarily pertaining to LGBTQ+ people or intended for use by LGBTQ+ people."
2219,Collections of records and materials relating to queer people or queer communities; can include a variety of organizations and institutions from community to government archives.
2220,Collections of records and materials relating to transgender people or transgender communities; can include a variety of organizations and institutions from community to government archives.
2221,Collections of records and materials relating to Two-Spirit people or Two-Spirit communities; can include a variety of organizations and institutions from community to government archives.
2222,"Suppression or prohibition of art by LGBTQ+ artists or about LGBTQ+ issues; includes censorship on the basis of religious, moral, political, and/or social objections."
2223,Artists who are known to be queer.
2224,Artists who are known to be transgender.
2225,"Images of naked individuals, including those taken by amateurs or professionals; may be produced for aesthetic or erotic purposes."
2226,Artists who are Two-Spirit.
2227,"Works of art depicting naked individuals, either for aesthetic or erotic purposes; includes paintings, photographs, sculptures, etc."
2228,"Term for different forms of creative activity, including visual, material, and performing arts, by transgender artists or about transgender topics and communities. 
"
2229,"Term for different forms of creative activity, including visual, material, and performing arts, by Two-Sprit artists or about Two-Spirit topics and communities. 
"
2230,"Term for different forms of creative activity, including visual, material, and performing arts, by queer artists or about queer topics and communities. 
"
2231,LGBTQ+ people who have left their home countries and are seeking protection from persecution and/or human rights violations in other countries but have not yet been legally recognized as refugees.
2232,LGBTQ+ people who have moved to another country.
2233,LGBTQ+ people who temporarily or permanently move away from their place of residence within a country or across an international border.
2234,Queer people who are atheists.
2235,Transgender people who are atheists.
2236,Professional or recreational sports players who self-identify as queer.
2237,Professional or recreational sports players who self-identify as transgender.
2238,Professional or recreational sports players who self-identify as Two-Spirit.
2239,Organized games or sports activities for LGBTQ+ people or communities; includes both competitive and recreational events.
2240,Transgender people who are autistic.
2241,Queer people who are autistic.
2242,Non-binary people who are autistic.
2243,Two-Spirit people who are autistic.
2244,Accounts of individuals' lives written by those individuals; use for autobiographies written by megasexual authors.				
2245,Accounts of individuals' lives written by those individuals; use for autobiographies written by Two-Spirit authors.
2246,Prizes or forms of recognition given in honor of achievements by LBGTQ+ individuals or in support of LGBTQ+ issues or communities.
2247,Prizes or forms of recognition given in honor of influential LGBTQ+ writers or literary works featuring LGBTQ+ characters and themes.
2248,LGBTQ+ people who are Baptist.
2249,Drinking establishments that primarily cater to queer people.
2250,Drinking establishments that primarily cater to transgender people.
2251,Police raids on LGBTQ+-affiliated or -related bars.
2252,Beaches that permit nudity.
2253,Beaches set aside for use by queer people or beaches known to be frequented by queer people.
2254,Beaches set aside for use by transgender people or beaches known to be frequented by transgender people.
2255,Accounts of individuals' lives written by those individuals; use for biographies written by megasexual authors.				
2256,Written accounts of the lives of individuals known to be Two-Spirit
2257,Queer people with significant or total loss of vision.
2258,Transgender people with significant or total loss of vision.
2259,Two-Spirit people with significant or total loss of vision.
2260,"Web-based and mobile technologies that facilitate interactive dialogue, as used by or designed for LGBTQ+ people."
2261,A form of online blogging via short videos about an individual's life; use in reference to vlogs created by LGBTQ+ people or focusing on LGBTQ+ issues.
2262,"The suppression or prohibition of written texts by LGBTQ+ authors and/or about LGBTQ+ issues due to religious, moral, political, and/or social objections."
2263,"Books about LGBTQ+ people and issues or written by LGBTQ+ authors that individuals or organizations have attempted to restrict or remove from school curricula, library circulation, or sale."
2264,Groups of people gathering regularly to read and discuss written works; use in reference to book clubs with primarily LGBTQ+ membership or book clubs focused on books by LGBTQ+ authors or featuring LGBTQ+ characters and themes.
2265,Groups or organizations of LGBTQ+ people dedicated to a particular interest or activity.
2266,Bookshops that sell materials intended for use by queer people or addressing topics related to queerness.
2267,Bookshops that sell materials intended for use by transgender people or addressing topics related to transgender experiences.
